player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Davinson Sánchez,Tottenham Hotspur,27.0,DF,DEF,77.0,17000000.0,0.0,0.14,0.0,0.008668730647470983,0.09178558794934977,0.009897400923850863
Dean Henderson,Crystal Palace,26.0,GK,GK,1620.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Declan Rice,Arsenal,24.0,MF,MID,3225.0,120000000.0,0.19553072625698326,0.09,0.15,0.0525926104500713,0.07888879734191094,0.053738847306946565
Deivid Washington,Chelsea,18.0,"DF,FW",ATT,13.0,9000000.0,0.0,3.23,0.0,0.19999999993808049,3.9999200003616022,0.2374165881392112
Dejan Kulusevski,Tottenham Hotspur,23.0,"FW,MF",ATT,2762.0,55000000.0,0.26058631921824105,0.15,0.25,0.07590067033700873,0.2484013808802366,0.08094970137736618
Destiny Udogie,Tottenham Hotspur,20.0,DF,DEF,2391.0,45000000.0,0.07518796992481203,0.09,0.08,0.025412896302169943,0.10165117860396536,0.027412038703313612
Diego Carlos,Aston Villa,30.0,DF,DEF,1816.0,16000000.0,0.0,0.1,0.0,0.006191950462479273,0.06965865904297758,0.007095409262953462
Diogo Dalot,Manchester United,24.0,DF,DEF,3174.0,35000000.0,0.056657223796034,0.05,0.08,0.0196005818153324,0.10080247378041576,0.021448370550268093
Diogo Jota,Liverpool,26.0,FW,ATT,1145.0,50000000.0,0.7874015748031497,0.42,0.26,0.18823397084116636,0.6776398555247191,0.2018349280120327
Divin Mubama,West Ham United,18.0,FW,ATT,80.0,1000000.0,0.0,0.17,0.0,0.010526315786214765,1.8943958502656097,0.01448291324495013
Divock Origi,Nottingham Forest,28.0,FW,ATT,606.0,5000000.0,0.0,0.21,0.31,0.037440032902639586,1.3477926639591227,0.04613803155236403
Dominic Calvert-Lewin,Everton,26.0,FW,ATT,2171.0,22000000.0,0.2904564315352697,0.54,0.13,0.09596643789826345,0.7851735222933368,0.10789738456278396
Dominic Sadi,Bournemouth,19.0,FW,ATT,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Solanke,Bournemouth,25.0,FW,ATT,3325.0,40000000.0,0.5149051490514905,0.53,0.08,0.13180657054822123,0.5931268983959528,0.14313199005369284
Dominik Szoboszlai,Liverpool,22.0,MF,MID,2104.0,75000000.0,0.12820512820512822,0.16,0.25,0.05269125101042779,0.1264586989241493,0.055235148658069735
